trace,a,b,c,d,single_dim,dim_HH_0_-,dim_HH_0_+,total_dim,seq_0,seq_1
0,0,-1,1,0,2,2,2,6
1,1,-1,1,0,1,1,2,4
1,0,1,-1,1,1,1,2,4
2,1,0,0,1,4,1,4,9,0
2,1,1,0,1,2,1,3,6,1
2,1,2,0,1,4,2,4,10,2
2,1,3,0,1,2,2,3,7,3
2,1,4,0,1,4,3,4,11,4
2,1,5,0,1,2,3,3,8,5
2,1,6,0,1,4,4,4,12,6
2,1,7,0,1,2,4,3,9,7
2,1,8,0,1,4,5,4,13,8
2,1,9,0,1,2,5,3,10,9
2,1,10,0,1,4,6,4,14,10
3,2,1,1,1,1,1,3,5,1,1
4,3,1,2,1,2,2,4,8,1,2
5,4,1,3,1,1,2,4,7,1,3
6,5,1,4,1,2,3,5,10,1,4
7,6,1,5,1,1,3,5,9,1,5
8,7,1,6,1,2,4,6,12,1,6
9,8,1,7,1,1,4,6,11,1,7
10,9,1,8,1,2,5,7,14,1,8
11,10,1,9,1,1,5,7,13,1,9
12,11,1,10,1,2,6,8,16,1,10
6,5,2,2,1,4,4,6,14,2,2
8,7,2,3,1,2,4,6,12,2,3
10,9,2,4,1,4,6,8,18,2,4
12,11,2,5,1,2,6,8,16,2,5
14,13,2,6,1,4,8,10,22,2,6
16,15,2,7,1,2,8,10,20,2,7
18,17,2,8,1,4,10,12,26,2,8
20,19,2,9,1,2,10,12,24,2,9
22,21,2,10,1,4,12,14,30,2,10
11,10,3,3,1,1,5,7,13,3,3
14,13,3,4,1,2,7,9,18,3,4
17,16,3,5,1,1,8,10,19,3,5
20,19,3,6,1,2,10,12,24,3,6
23,22,3,7,1,1,11,13,25,3,7
26,25,3,8,1,2,13,15,30,3,8
29,28,3,9,1,1,14,16,31,3,9
32,31,3,10,1,2,16,18,36,3,10
18,17,4,4,1,4,10,12,26,4,4
22,21,4,5,1,2,11,13,26,4,5
26,25,4,6,1,4,14,16,34,4,6
30,29,4,7,1,2,15,17,34,4,7
34,33,4,8,1,4,18,20,42,4,8
38,37,4,9,1,2,19,21,42,4,9
42,41,4,10,1,4,22,24,50,4,10
27,26,5,5,1,1,13,15,29,5,5
32,31,5,6,1,2,16,18,36,5,6
37,36,5,7,1,1,18,20,39,5,7
42,41,5,8,1,2,21,23,46,5,8
47,46,5,9,1,1,23,25,49,5,9
52,51,5,10,1,2,26,28,56,5,10
38,37,6,6,1,4,20,22,46,6,6
44,43,6,7,1,2,22,24,48,6,7
50,49,6,8,1,4,26,28,58,6,8
56,55,6,9,1,2,28,30,60,6,9
62,61,6,10,1,4,32,34,70,6,10
51,50,7,7,1,1,25,27,53,7,7
58,57,7,8,1,2,29,31,62,7,8
65,64,7,9,1,1,32,34,67,7,9
72,71,7,10,1,2,36,38,76,7,10
66,65,8,8,1,4,34,36,74,8,8
74,73,8,9,1,2,37,39,78,8,9
82,81,8,10,1,4,42,44,90,8,10
83,82,9,9,1,1,41,43,85,9,9
92,91,9,10,1,2,46,48,96,9,10
102,101,10,10,1,4,52,54,110,10,10
